Thu Mar 11 17:30:00 2021    profile.dat

         31637 function calls (30646 primitive calls) in 0.192 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      154    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:1358(<listcomp>)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      264    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/pickle.py:254(read)
       75    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       75    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(moveaxis)
        1    0.000    0.000    0.000    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
     16/5    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
       26    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:358(_delegate)
       75    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      328    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/lib/function_base.py:4612(_append_dispatcher)
      329    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.065    0.065 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/project_main.py:44(__init__)
      329    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:820(_outer_dispatcher)
     28/8    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:174(getwidth)
      328    0.000    0.000    0.000    0.000 {method 'InsertCellPoint' of 'vtkmodules.vtkCommonDataModel.vtkCellArray' objects}
        2    0.000    0.000    0.016    0.008 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/robot_model.py:44(computeShape)
        2    0.000    0.000    0.016    0.008 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/robot_model.py:70(get_fullshape)
        6    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/_methods.py:72(_clip_dep_is_scalar_nan)
