Thu Mar 11 17:30:00 2021    profile.dat

         31637 function calls (30646 primitive calls) in 0.192 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       41    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       39    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       38    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:286(tell)
       37    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:172(append)
       36    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       32    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       32    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:403(cached)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       30    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:111(__init__)
     30/5    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       29    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       28    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     28/8    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:174(getwidth)
       26    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:358(_delegate)
     26/3    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_compile.py:71(_compile)
       25    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       25    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       25    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(cross)
       25    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:1448(_cross_dispatcher)
       25    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:1452(cross)
       25    0.000    0.000    0.000    0.000 {built-in method numpy.promote_types}
       23    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       22    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/pickle.py:1456(load_binget)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
     17/1    0.000    0.000    0.192    0.192 {built-in method builtins.exec}
       17    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       17    0.001    0.000    0.001    0.000 {method 'Update' of 'vtkmodules.vtkRenderingCore.vtkPolyDataMapper' objects}
       17    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       16    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       16    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       16    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
     16/7    0.000    0.000    0.005    0.001 {built-in method builtins.__import__}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       16    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       16    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:81(groups)
       16    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:343(_escape)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
     16/5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:722(exec_module)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:793(get_code)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     16/5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:663(_load_unlocked)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     16/5    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     16/5    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:978(_find_and_load)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       15    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/PIL/Image.py:3087(register_extension)
       15    0.000    0.000    0.000    0.000 {method 'SetPoints' of 'vtkmodules.vtkCommonDataModel.vtkPointSet' objects}
       15    0.000    0.000    0.000    0.000 {method 'SetLines' of 'vtkmodules.vtkCommonDataModel.vtkPolyData' objects}
       15    0.000    0.000    0.000    0.000 {method 'SetNumberOfPoints' of 'vtkmodules.vtkCommonCore.vtkPoints' objects}
     15/3    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:475(_parse)
       15    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_compile.py:249(_compile_charset)
       15    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_compile.py:276(_optimize_charset)
       14    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/PIL/__init__.py:38(__getattr__)
       14    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/fromnumeric.py:3071(_ndim_dispatcher)
       14    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/fromnumeric.py:3075(ndim)
       14    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       14    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:168(__setitem__)
